"","unique_id","Species_standardised","Reference","Trait_value","Temperature","T_pk","B0_value","E_value","ED_value"
"84","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0.159424,16.4,293.45,0.0554518,1.13484471233237,2.26968942466473
"85","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0.221807,20.3,293.45,0.0554518,1.13484471233237,2.26968942466473
"86","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0.214876,20.6,293.45,0.0554518,1.13484471233237,2.26968942466473
"87","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0.159424,23.5,293.45,0.0554518,1.13484471233237,2.26968942466473
"88","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0.145561,23.7,293.45,0.0554518,1.13484471233237,2.26968942466473
"89","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0,26.3,293.45,0.0554518,1.13484471233237,2.26968942466473
"90","Alexandrium tamarense-:-Langdon (1988)-:- 43.940-:- -68.730","Alexandrium tamarense","Langdon (1988)",0.145561,5,293.15,0.145561,0.508021577661086,1.01604315532217
"91","Alexandrium tamarense-:-Langdon (1988)-:- 43.940-:- -68.730","Alexandrium tamarense","Langdon (1988)",0.270327,10,293.15,0.145561,0.508021577661086,1.01604315532217
"92","Alexandrium tamarense-:-Langdon (1988)-:- 43.940-:- -68.730","Alexandrium tamarense","Langdon (1988)",0.402025,15,293.15,0.145561,0.508021577661086,1.01604315532217
"93","Alexandrium tamarense-:-Langdon (1988)-:- 43.940-:- -68.730","Alexandrium tamarense","Langdon (1988)",0.42282,20,293.15,0.145561,0.508021577661086,1.01604315532217
